fecha,MIN(dp.precio),AVG(dp.precio),MAX(dp.precio),AVG(wd.vel_km_h),MAX(wd.racha_max_km_h)
2015-01-01,32.4,46.55478236986243,62.69,7.200000047683716,38.88
2015-01-02,35.99,54.322083155314125,65.01,11.808000230789185,87.12
2015-01-03,41.98,53.768332640329994,59.92,10.799999952316284,39.96
2015-01-04,34,45.75708293914795,62.69,11.592000007629395,48.96
2015-01-05,43.93,59.776249408721924,69,10.8,59.04
2015-01-06,40,53.42208321889242,63.7,5.039999961853027,33.84
2015-01-07,47.73,64.39666589101155,85.05,10.8,65.88
2015-01-08,54.56,65.71791664759319,75.96,11.01599998474121,41.04
2015-01-09,48.89,63.60041650136312,75.69,11.807999992370606,42.84
2015-01-10,43,56.74583307902018,67.69,8.855999946594238,51.12
2015-01-11,37,46.51624981562296,68.03,14.579999923706055,83.88
2015-01-12,41,58.19874954223633,70.69,7.0200000405311584,30.96
2015-01-13,39.2,56.87874937057495,70.2,7.919999885559082,56.88
2015-01-14,43.05,61.49749994277954,81.12,10.439999961853028,63
2015-01-15,32.25,47.65833282470703,64,11.069999933242798,66.96
2015-01-16,33.04,52.64000018437704,71.25,8.208000016212463,81
2015-01-17,33.04,46.608333110809326,64.88,10.259999990463257,51.12
2015-01-18,25,42.80333296457926,60.8,8.567999839782715,86.04
2015-01-19,28.07,52.168749968210854,70.01,8.27999997138977,47.16
2015-01-20,39.4,60.574167251586914,77.51,7.109999895095825,39.96
2015-01-21,38.5,52.11500024795532,67.75,8.010000050067902,51.12
2015-01-22,33.04,50.64333327611288,65,8.855999779701232,83.16
2015-01-23,35,53.649166425069176,68.5,13.536000061035157,68.04
2015-01-24,35,46.94166660308838,57.9,11.879999876022339,69.84
2015-01-25,25.83,40.69374990463257,63.89,15.03000020980835,64.08
2015-01-26,35,57.58749977747599,71.15,10.52999997138977,42.84
2015-01-27,39.8,55.57666635513306,70.52,14.68799991607666,54
2015-01-28,39.5,57.44874938329061,72.52,14.183999824523926,66.96
2015-01-29,30.52,44.35374975204468,61.44,17.352000045776368,100.08
2015-01-30,5,33.56416654586792,52.01,24.47999906539917,84.96
2015-01-31,4,4.5,5,12.744000053405761,104.04
2015-02-01,4,16.814782557280168,52.01,7.3440001010894775,30.96
2015-02-02,29.87,48.25875004132589,64.89,12.239999961853027,105.12
2015-02-03,19.99,43.39291659990946,66.12,9,52.92
2015-02-04,22,39.51916662851969,58.31,7.344000053405762,37.08
2015-02-05,17,42.649582942326866,61.01,10.368000030517578,57.96
2015-02-06,28,46.11874961853027,59.99,7.4700000286102295,43.92
2015-02-07,42.45,53.09333324432373,70.03,10.871999931335449,42.84
2015-02-08,26.39,40.21999963124593,50.48,8.423999977111816,45
2015-02-09,25,51.60458326339722,82.01,12.384000015258788,46.08
2015-02-10,42.88,60.21124982833862,71,9.359999847412109,48.96
2015-02-11,42.39,63.699999491373696,77.15,6.299999982118607,65.16
2015-02-12,45.2,65.33624935150146,75.79,6.0299999713897705,25.92
2015-02-13,41.62,51.469582875569664,61.1,7.740000009536743,60.12
2015-02-14,31.43,39.01916631062826,47.31,13.43999989827474,55.08
2015-02-15,8.4,28.9020836353302,54.92,10.43999993801117,51.84
2015-02-16,34.34,51.232499758402504,68.03,9,41.04
2015-02-17,20.1,39.83124979337057,55.1,14.759999752044678,65.88
2015-02-18,19,45.81583293279012,61.55,9.936000061035156,42.12
2015-02-19,40.84,56.2704168955485,75.8,6.299999952316284,33.84
2015-02-20,40.52,52.00875027974447,59.99,5.759999990463257,36
2015-02-21,12,35.397916316986084,50.03,8.207999992370606,84.96
2015-02-22,4.99,16.349999884764355,47.15,15,70.92
2015-02-23,5,29.65416669845581,49.62,12,69.84
2015-02-24,4,26.174999952316284,51.5,20.663999938964842,104.04
2015-02-25,12.4,34.015416622161865,51.48,21.02399959564209,95.04
2015-02-26,22.1,40.49916656812032,56,11.28000005086263,74.88
2015-02-27,24.13,39.639583110809326,50.1,12.149999856948853,60.84
2015-02-28,27.22,34.98666659990946,45.9,12.240000009536743,51.84
2015-03-01,11.7,25.799166361490887,44,4.968000054359436,30.96
2015-03-02,12,42.73374982674917,77.15,9.86399998664856,96.84
2015-03-03,49.34,51.21999931335449,53.1,6.0299999713897705,29.88
2015-03-04,22.12,34.77478259542714,44.69,9.72000002861023,42.12
2015-03-05,4.13,26.49708350499471,52.1,9.576000022888184,65.16
2015-03-06,28.24,47.90583316485087,71,9,39.96
2015-03-07,34.75,45.489166577657066,60.75,12.815999984741211,61.92
